Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
108,Palestinian Territories,Middle East and North Africa,"4,715","354,158","66,007",63,"3,658","14,136","76,618",2015
109,Bangladesh,South Asia,"4,694","235,166","30,741",60,"6,095","26,664","77,226",2015
110,Iran,Middle East and North Africa,"4,686","596,774","38,829",64,"44,843","47,853","89,378",2015
111,Ukraine,Commonwealth of Independent States,"4,681","472,705","85,776",63,"37,512","19,192","94,635",2015
112,Iraq,Middle East and North Africa,"4,677","58,299","58,399",60,0,"22,518","75,018",2015
113,South Africa,Sub-Saharan Africa,"4,642","544,536","84,486",49,"49,582","15,044","83,903",2015
114,Ghana,Sub-Saharan Africa,"4,633","322,748","48,461",53,"63,222","29,008","92,109",2015
115,Zimbabwe,Sub-Saharan Africa,"4,61","160,314","73,651",51,"38,614","23,857","85,361",2015
116,Liberia,Sub-Saharan Africa,"4,571","4,212","56,316",51,426,"3,061","88,708",2015
117,India,South Asia,"4,565","381,558","27,223",57,"59,406","33,265","84,614",2015
118,Sudan,Sub-Saharan Africa,"4,55","308,252","72,316",52,"15,053","2,395","73,437",2015
119,Haiti,Latin America and Caribbean,"4,518","157,791","52,988",53,"3,647","58,032","6,888",2015
120,Congo (Kinshasa),Sub-Saharan Africa,"4,517",0,714,42,"33,753","31,203","86,185",2015
121,Nepal,South Asia,"4,514","212,947","61,651",59,"57,161","40,578","89,298",2015
122,Ethiopia,Sub-Saharan Africa,"4,512","112,829","43,078",55,"64,877","30,563","72,736",2015
123,Sierra Leone,Sub-Saharan Africa,"4,507","19,536","68,156",39,"6,098","26,999","84,081",2015
124,Mauritania,Sub-Saharan Africa,"4,436","268,612","61,978",52,"36,182","27,516","68,362",2015
125,Kenya,Sub-Saharan Africa,"4,419","215,751","71,227",54,"63,033","47,171","89,421",2015
126,Djibouti,Sub-Saharan Africa,"4,369","26,044","42,223",52,"68,795","22,733","49,077",2015
127,Armenia,Commonwealth of Independent States,"4,35","454,452","5,542",65,"29,635",987,"92,933",2015
128,Botswana,Sub-Saharan Africa,"4,332","587,752","78,777",40,"73,903","13,143","77,398",2015
129,Myanmar,Southeast Asia,"4,307","16,036","50,566",56,"65,723",1,"65,513",2015
130,Georgia,Commonwealth of Independent States,"4,297","438,886",275,65,"60,588","6,969","30,549",2015
131,Malawi,Sub-Saharan Africa,"4,292","9,487","29,335",47,"64,285","41,624","87,359",2015
132,Sri Lanka,South Asia,"4,271","494,102","72,674",64,"8,022","51,298","8,337",2015
133,Cameroon,Sub-Saharan Africa,"4,252","249,938","63,304",47,"73,625","25,906","89,517",2015
134,Bulgaria,Central and Eastern Europe,"4,218","598,762","78,884",66,"45,671","14,978","9,842",2015
135,Egypt,Middle East and North Africa,"4,194","521,644","53,272",61,"25,813","14,186","88,541",2015
136,Yemen,Middle East and North Africa,"4,077","323,288","4,856",53,"53,112","11,473","85,769",2015
137,Angola,Sub-Saharan Africa,"4,033","448,283","61,359",45,"15,505","1,551","87,097",2015
138,Mali,Sub-Saharan Africa,"3,995","154,249","7,383",46,"58,019","23,619","7,762",2015
139,Congo (Brazzaville),Sub-Saharan Africa,"3,989","401,476","47,274",50,"61,915","15,565","78,827",2015
140,Comoros,Sub-Saharan Africa,"3,956","141,419","56,534",52,"34,218","21,914","63,943",2015
141,Uganda,Sub-Saharan Africa,"3,931","124,835","80,799",51,"68,277","36,521","86,834",2015
142,Senegal,Sub-Saharan Africa,"3,904","215,909","69,617",54,"54,905","26,188","80,589",2015
143,Gabon,Sub-Saharan Africa,"3,896","627,204","6,456",54,"47,653","8,571","79,905",2015
144,Niger,Sub-Saharan Africa,"3,845","41,055","55,101",49,"7,121","24,359","71,664",2015
145,Cambodia,Southeast Asia,"3,819","272,347","4,474",61,"98,914","5,071","86,869",2015
146,Tanzania,Sub-Saharan Africa,"3,781","168,716","71,506",53,"49,091","43,194","89,588",2015
147,Madagascar,Sub-Saharan Africa,"3,681","123,192","47,639",56,"28,644","26,805","8,528",2015
148,Central African Republic,Sub-Saharan Africa,"3,678","46,439",0,41,"72,984","29,948","84,981",2015
149,Chad,Sub-Saharan Africa,"3,667","202,275","54,243",44,"3,509","23,102","90,454",2015
150,Guinea,Sub-Saharan Africa,"3,656","103,032","33,144",47,"56,329","36,006","78,006",2015
151,Ivory Coast,Sub-Saharan Africa,"3,655","275,284","54,994",44,"69,977","25,337","67,528",2015
152,Burkina Faso,Sub-Saharan Africa,"3,587","152,693","60,752",49,"58,968","27,324","7,675",2015
153,Afghanistan,South Asia,"3,575","189,197","21,598",50,"3,496","45,874","82,391",2015
154,Rwanda,Sub-Saharan Africa,"3,465","131,375","55,176",54,"88,395","28,431",0,2015
155,Benin,Sub-Saharan Africa,"3,34","169,577","25,236",50,"72,342","22,943","85,487",2015
156,Syria,Middle East and North Africa,"3,006","392,329","33,867",65,"23,418","59,279","65,745",2015
157,Burundi,Sub-Saharan Africa,"2,905","9,053","29,658",47,"17,693","24,786","81,769",2015
158,Togo,Sub-Saharan Africa,"2,839","123,446",998,49,"54,429","20,959","80,556",2015
111,Sierra Leone,Sub-Saharan Africa,"4,635","944,368","53,074",44,"50,429","29,153","16,223",2016
144,Chad,Sub-Saharan Africa,"3,763","942,133","53,393",46,"21,048","22,772","9,803",2016
139,Ivory Coast,Sub-Saharan Africa,"3,916","997,862","48,659",46,"66,827","24,811","30,739",2016
141,Angola,Sub-Saharan Africa,"3,866","99,228","56,087",46,967,"14,726","16,694",2016
103,Nigeria,Sub-Saharan Africa,"4,875","970,016","54,509",46,"45,776","28,325","6,037",2016
76,Somalia,Sub-Saharan Africa,"5,44",0,"28,407",49,"93,311","33,213","61,717",2016
114,Cameroon,Sub-Saharan Africa,"4,513","962,138","52,856",49,"70,234","27,668","12,126",2016
157,Burundi,Sub-Saharan Africa,"2,905","736,575","19,812",51,71,"24,753","18,643",2016
143,South Sudan,Sub-Saharan Africa,"3,832","996,735","15,651",51,"32,314","31,595","25,762",2016
131,Zimbabwe,Sub-Saharan Africa,"4,193","951,646","60,408",51,"41,791","22,573","16,986",2016
135,Mali,Sub-Saharan Africa,"4,073","973,172","72,962",51,"45,267","25,697","27,012",2016
154,Afghanistan,South Asia,"3,36","963,815","9,327",51,"27,002","38,145","14,077",2016
116,South Africa,Sub-Saharan Africa,"4,459","995,684","81,177",52,"69,817","1,666","16,657",2016
125,Congo (Kinshasa),Sub-Saharan Africa,"4,272","790,737","68,182",52,"2,564","31,057","12,025",2016
151,Guinea,Sub-Saharan Africa,"3,607","849,819","26,275",52,"50,869","36,493","23,595",2016
146,Uganda,Sub-Saharan Africa,"3,739","98,876","7,689",52,"71,741","33,063","12,751",2016
153,Benin,Sub-Saharan Africa,"3,484","921,448","8,805",53,"65,321","24,619","13,223",2016
145,Burkina Faso,Sub-Saharan Africa,"3,739","968,359","53,288",53,"54,841","29,709","24,807",2016
150,Liberia,Sub-Saharan Africa,"3,622","764,019","42,554",54,"42,316","29,355","9,604",2016
106,Zambia,Sub-Saharan Africa,"4,795","996,247","53,885",54,"70,112","21,795","22,721",2016
155,Togo,Sub-Saharan Africa,"3,303","951,589",0,54,"56,991","21,369","22,935",2016
142,Niger,Sub-Saharan Africa,"3,856","501,702","51,155",55,"62,517","25,582","33,999",2016
136,Haiti,Latin America and Caribbean,"4,028","999,461","24,983",55,"1,984","58,506","28,653",2016
127,Congo (Brazzaville),Sub-Saharan Africa,"4,236","964,441","40,396",56,"62,348","14,733","19,305",2016
130,Mauritania,Sub-Saharan Africa,"4,201","967,499","7,111",56,"20,839","27,676","3,554",2016
132,Malawi,Sub-Saharan Africa,"4,156","772,189","12,423",56,"68,088","37,779","14,971",2016
124,Ghana,Sub-Saharan Africa,"4,276","928,626","41,709",56,"67,337","25,867","6,453",2016
133,Sudan,Sub-Saharan Africa,"4,139","999,269","69,239",56,0,"22,053","1,987",2016
138,Comoros,Sub-Saharan Africa,"3,956","980,559","5,098",56,"25,328","22,289","36,493",2016
122,Kenya,Sub-Saharan Africa,"4,356","994,645","64,432",56,"66,683","50,418","13,234",2016
147,Yemen,Middle East and North Africa,"3,724","934,875","40,138",57,"37,585","11,981","11,663",2016
152,Rwanda,Sub-Saharan Africa,"3,515","955,183","52,048",57,"89,271","28,732",1,2016
97,Somaliland region,Sub-Saharan Africa,"5,057","913,349","64,113",58,"64,307","62,801","72,829",2016
115,Ethiopia,Sub-Saharan Africa,"4,508","921,583","32,057",58,"60,319","36,015","33,986",2016
113,Namibia,Sub-Saharan Africa,"4,574","998,753","59,464",58,"79,893","9,509","20,581",2016
137,Botswana,Sub-Saharan Africa,"3,974","997,103","75,374",58,"72,458","15,158","21,317",2016
134,Gabon,Sub-Saharan Africa,"4,121","993,276","6,116",58,"46,176","7,617","18,436",2016
149,Tanzania,Sub-Saharan Africa,"3,666","957,975","65,601",59,"52,196","38,394","10,093",2016
148,Madagascar,Sub-Saharan Africa,"3,695","992,691","38,973",59,"22,488","26,887","14,857",2016
102,Laos,Southeast Asia,"4,876","986,262","46,456",60,"85,734","52,554","44,383",2016
119,Myanmar,Southeast Asia,"4,395","978,674","59,143",60,"70,161",1,"40,069",2016
92,Pakistan,South Asia,"5,132","993,634","22,088",60,"2,403","38,043","27,475",2016
128,Senegal,Sub-Saharan Africa,"4,219","991,461","65,426",61,"51,038","23,305","23,121",2016
140,Cambodia,Southeast Asia,"3,907","990,401","45,425",61,"96,719","49,211","16,018",2016
65,Turkmenistan,Commonwealth of Independent States,"5,658","991,722","87,739",62,"61,477","2,753","56,347",2016
118,India,South Asia,"4,404","999,974","24,718",62,"66,205","30,533","17,265",2016
52,Belize,Latin America and Caribbean,"5,956","976,528","58,022",63,"84,195","28,893","2,132",2016
59,Bolivia,Latin America and Caribbean,"5,822","972,997","70,803",63,"83,751","2,647","15,332",2016
82,Philippines,Southeast Asia,"5,279","967,256","74,267",63,"90,149","26,441","23,271",2016
79,Indonesia,Southeast Asia,"5,314","996,273","74,054",64,"64,483","68,953",638,2016
84,Bhutan,South Asia,"5,196","988,423","76,768",64,"75,719","59,223","31,987",2016
107,Nepal,South Asia,"4,793","934,497","58,904",64,"60,826","46,553","13,872",2016
49,Uzbekistan,Commonwealth of Independent States,"5,987","992,666","98,719",64,1,"41,876","56,081",2016
40,Suriname,Latin America and Caribbean,"6,269","982,217","65,807",65,"85,843","2,033","25,123",2016
112,Iraq,Middle East and North Africa,"4,575","995,884","50,035",65,"40,849","23,897","2,699",2016
120,Egypt,Middle East and North Africa,"4,362","998,272","42,098",65,"30,973","15,501","20,572",2016
67,Libya,Middle East and North Africa,"5,615","997,807","80,351",65,"66,842","20,845","20,465",2016
55,Moldova,Western Europe,"5,897","996,358","70,257",65,"41,419","24,396","3,767",2016
43,Trinidad and Tobago,Latin America and Caribbean,"6,168","989,094","83,303",65,"79,629","38,959","2,456",2016
110,Bangladesh,South Asia,"4,643","970,737","20,916",66,"65,372","2,334","24,907",2016
100,Tajikistan,Commonwealth of Independent States,"4,996","919,796","63,893",66,"71,338","31,716","26,739",2016
77,Kosovo,Central and Eastern Europe,"5,401","958,862","55,831",66,"23,659","34,149","12,959",2016
39,Guatemala,Latin America and Caribbean,"6,324","995,073","73,626",66,"82,794","35,145","17,223",2016
81,Azerbaijan,Commonwealth of Independent States,"5,291","992,557","64,265",66,"58,057",688,"35,458",2016
85,Kyrgyzstan,Commonwealth of Independent States,"5,185","960,064","80,653",67,"66,086","46,884","9,426",2016
101,Mongolia,East Asia,"4,907","990,815","92,104",67,"59,117","42,135","6,502",2016
108,Palestinian Territories,Middle East and North Africa,"4,754","981,712","60,536",67,"29,161","13,607","21,008",2016
54,Kazakhstan,Commonwealth of Independent States,"5,919","997,172","80,746",67,"66,592","18,313","22,034",2016
89,Dominican Republic,Latin America and Caribbean,"5,155","997,101","84,086",67,"85,883","25,967","24,488",2016
70,Paraguay,Latin America and Caribbean,"5,538","989,537","93,902",68,"75,984","30,859","14,639",2016
104,Honduras,Latin America and Caribbean,"4,871","930,923","63,888",68,"4,397","24,936","1,367",2016
123,Ukraine,Western Europe,"4,324","998,844","85,707",68,"21,133","24,841","3,621",2016
56,Russia,Commonwealth of Independent States,"5,856","99,101","88,958",68,"5,371","3,338","7,097",2016
34,Saudi Arabia,Middle East and North Africa,"6,379","985,068","71,691",68,"62,293","18,857","59,396",2016
73,Jamaica,Latin America and Caribbean,"5,51","999,455","81,446",68,"71,649","27,138","8,499",2016
90,Morocco,Middle East and North Africa,"5,151","990,293","32,618",68,"42,148","4,944","16,635",2016
98,Tunisia,Middle East and North Africa,"5,045","986,052","3,648",68,"38,707","4,802","16,171",2016
46,El Salvador,Latin America and Caribbean,"6,068","996,561","68,434",68,"61,248","1,083","21,006",2016
31,Colombia,Latin America and Caribbean,"6,481","995,212","86,346",68,"73,519","19,063","10,686",2016
80,Jordan,Middle East and North Africa,"5,303","972,954","72,863",69,"59,201","17,399","2,632",2016
17,Brazil,Latin America and Caribbean,"6,952","998,032","8,784",69,"66,437","19,246","2,804",2016
38,Algeria,Middle East and North Africa,"6,355","983,726","70,406",69,"34,521","8,593","31,981",2016
44,Venezuela,Latin America and Caribbean,"6,084","989,269","87,303",69,"32,618","5,185","16,437",2016
117,Sri Lanka,South Asia,"4,415","994,924","71,652",69,"83,515","57,311","15,763",2016
47,Malaysia,Southeast Asia,"6,005","98,289","74,392",69,"64,144","50,595","17,975",2016
156,Syria,Middle East and North Africa,"3,069","991,917","12,563",70,"1,136","59,041","34,111",2016
64,Peru,Latin America and Caribbean,"5,743","999,132","68,671",70,"61,631","17,722","10,475",2016
61,Belarus,Commonwealth of Independent States,"5,802","996,713","88,732",70,"47,809","17,008","34,554",2016
88,Montenegro,Western Europe,"5,161","997,972","62,685",70,"24,833","20,972","2,518",2016
41,Kuwait,Middle East and North Africa,"6,239","978,917","74,167",70,"70,941","19,477","4,685",2016
68,Latvia,Western Europe,"5,56","988,524","80,308",70,"46,009","21,282","17,596",2016
126,Georgia,Western Europe,"4,252","996,148","16,268",70,"53,347","8,278","63,102",2016
121,Armenia,Commonwealth of Independent States,"4,36","983,195","52,801",70,"23,069","9,507","7,157",2016
105,Iran,Middle East and North Africa,"4,813","994,451","32,839",70,"37,049","47,014","11,024",2016
86,Serbia,Western Europe,"5,177","978,779","68,733",70,"25,832","25,297","8,589",2016
60,Lithuania,Western Europe,"5,813","99,342","8,993",70,"31,108",247,"3,602",2016
78,Turkey,Middle East and North Africa,"5,389","99,501","74,132",70,"3,926","5,742","24,441",2016
95,Macedonia,Western Europe,"5,121","994,196","66,119",70,"45,471","28,677","13,949",2016
33,Thailand,Southeast Asia,"6,474","994,463","88,296",70,"81,437","71,606","5,608",2016
48,Nicaragua,Latin America and Caribbean,"5,992","999,201","75,656",70,"76,555","36,322","32,247",2016
42,Bahrain,Middle East and North Africa,"6,218","998,695","79,777",71,"77,858","20,918","51,013",2016
96,Vietnam,Southeast Asia,"5,061","988,867","66,863",71,"91,957","3,059","22,874",2016
66,Mauritius,Sub-Saharan Africa,"5,648","991,893","63,972",71,"75,836","45,078","10,299",2016
71,Romania,Western Europe,"5,528","987,727","61,527",71,"60,334","15,724","1,344",2016
91,Hungary,Western Europe,"5,145","995,659","78,735",71,"32,491","12,077","8,852",2016
129,Bulgaria,Central and Eastern Europe,"4,217","997,792","78,209",71,"34,872","15,607","1,218",2016
72,Estonia,Western Europe,"5,517","999,915","88,875",72,"68,221","10,275","36,656",2016
51,Ecuador,Latin America and Caribbean,"5,976","999,859","72,659",72,"66,181","12,289","35,702",2016
57,Poland,Western Europe,"5,835","997,051","88,472",72,"74,267","1,762","10,886",2016
26,Argentina,Latin America and Caribbean,"6,65","992,469","90,101",72,"6,949","13,406","14,442",2016
45,Slovakia,Western Europe,"6,078","981,447","91,499",72,"38,441","16,881","5,834",2016
74,Croatia,Central and Eastern Europe,"5,488","969,673","51,391",73,"3,929","22,489","7,922",2016
87,Bosnia and Herzegovina,Central and Eastern Europe,"5,163","977,892","54,398",73,"15,631","36,463",0,2016
25,Panama,Latin America and Caribbean,"6,701","996,471","83,593",73,"80,409","29,498","16,672",2016
21,Mexico,Latin America and Caribbean,"6,778","997,271","60,393",73,"61,972","14,317","36,331",2016
36,Qatar,Middle East and North Africa,"6,375",10,"7,434",73,"93,147","39,511","95,108",2016
29,Uruguay,Latin America and Caribbean,"6,545","998,467","87,168",73,"89,382","22,027","42,346",2016
28,United Arab Emirates,Middle East and North Africa,"6,573","996,966","73,622",74,"92,385","32,439","70,389",2016
109,Albania,Central and Eastern Europe,"4,655","977,705","42,394",74,"5,237","20,543","10,493",2016
83,China,East Asia,"5,245","999,912","67,087",74,"72,331","6,049","5,434",2016
14,Costa Rica,Latin America and Caribbean,"7,087","99,324","86,331",75,"90,759","27,513","20,876",2016
93,Lebanon,Middle East and North Africa,"5,129","998,855","54,243",75,"43,104","28,904","6,058",2016
27,Czech Republic,Western Europe,"6,596","997,896","85,183",75,"68,067","12,112","7,889",2016
15,Puerto Rico,Latin America and Caribbean,"7,039","999,959","91,369",75,"76,951","27,085","24,297",2016
13,United States,North America and ANZ,"7,104","997,785","88,553",75,"79,153","50,111","2,943",2016
63,Slovenia,Western Europe,"5,768","992,202","89,256",76,"87,371","31,399","7,195",2016
94,Portugal,Western Europe,"5,123","9,966","79,752",76,"73,505","14,262",301,2016
1,Denmark,Western Europe,"7,526","997,766","98,351",76,"95,223","44,126","8,799",2016
